#Transcript_ID	GFF_annotation	HHPred_annotation
Smp_000020.1	Protein O-GlcNAcase	Ogoga, hyaluronoglucosaminidase
Smp_307880.3	Voltage-dependent calcium channel subunit alpha-2/delta-2	VON willebrand factor type A
Smp_307880.4	AN1-type zinc finger protein 4	DNA-directed RNA polymerase alpha chain
Smp_307900.1	female-specific protein 800 (fs800)	Navms, ION transport protein
Smp_307950.1	Persulfide dioxygenase ETHE1, mitochondrial	Putative hydroxyacylglutathione hydrolase 3
Smp_307950.2	Persulfide dioxygenase ETHE1, mitochondrial	Putative hydroxyacylglutathione hydrolase 3
Smp_307950.3	Persulfide dioxygenase ETHE1, mitochondrial	Putative hydroxyacylglutathione hydrolase 3
Smp_307960.1	MAP kinase-activating death domain protein	DENN domain-containing protein 1B
Smp_307960.2	MAP kinase-activating death domain protein	Uncharacterized protein YHL002W
Smp_307960.3	MAP kinase-activating death domain protein	DENN domain-containing protein 1B
Smp_308030.1	Putative ankyrin repeat domain-containing protein 19	2-5A-dependent ribonuclease
Smp_308040.1	Hypothetical protein	Haemagglutinin-esterase-fusion glycoprotein
Smp_308060.1	Conserved oligomeric Golgi complex subunit 4	6-pyruvoyl tetrahydropterin synthase
Smp_308060.2	Conserved oligomeric Golgi complex subunit 4	COG4
Smp_308060.3	Conserved oligomeric Golgi complex subunit 4	COG4
Smp_308070.1	Zinc finger protein SNAI3	Zinc finger protein GFI-1
Smp_308100.1	Telomerase protein component 1	Actin interacting protein 1
Smp_308100.2	Telomerase protein component 1	Actin interacting protein 1
Smp_308110.1	Telomerase protein component 1	Actin interacting protein 1
Smp_308140.1	Uridine phosphorylase 1	Uridine phosphorylase 1
Smp_308140.2	Uridine phosphorylase 1	Uridine phosphorylase 1
Smp_308140.3	Uridine phosphorylase 1	Uridine phosphorylase 1
Smp_308260.1	DNA ligase	Uncharacterized protein
Smp_308260.2	Hypothetical protein	Putative trypsin inhibitor ATTI-2
Smp_308260.3	Dystrophin-like protein 1	Vacuolar protein sorting-associated protein 30
Smp_308260.4	Dystrophin-like protein 1	Nucleoporin NUP53
Smp_308270.1	Zinc finger HIT domain-containing protein 3 (Fragment)	Zinc finger HIT domain-containing protein 3
Smp_308270.2	Zinc finger HIT domain-containing protein 3	MLIN-2/CASK, peripheral plasma membrane protein CASK
Smp_308300.1	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	  2 3vow_A Probable DNA DC->DU-edi  39.2      10 0.00031   26.3   0.0   18   21-38    162-179 (190)
Smp_308310.1	Motor neuron and pancreas homeobox protein 1	Homeobox protein VND
Smp_308350.1	Protein-tyrosine sulfotransferase A	Protein-tyrosine sulfotransferase 2
Smp_308360.1	Zinc finger CCCH domain-containing protein 15 homolog	Translation machinery-associated protein 46
Smp_308370.1	elongation factor 1-alpha	Elongation factor EEF1A
Smp_308420.1	Twinfilin-2-B	 97 3pie_A 5'->3' exoribonuclease   24.6      26  0.0008   33.2   0.0   56   41-99    279-340 (1155)
Smp_308440.1	Hypothetical protein	PYK2-associated protein beta
Smp_308470.1	Transmembrane cell adhesion receptor mua-3	Factor IX
Smp_308470.2	Hypothetical protein	Factor IX
Smp_308480.1	Transcription-associated protein 1	Transmembrane protease
Smp_308480.2	Transcription-associated protein 1	Transmembrane protease
Smp_308490.1	Mucin-1	Transmembrane protease
Smp_308550.1	Methyltransferase-like protein 16	Methyltransferase 10 domain containing protein
Smp_308550.2	Methyltransferase-like protein 16	OXYR, hydrogen peroxide-inducible genes activator
Smp_308550.3	Methyltransferase-like protein 16	Methyltransferase 10 domain containing protein
Smp_308590.1	Myotubularin-related protein 4	Myotubularin-related protein 6
Smp_308600.1	Myotubularin-related protein 3	Myotubularin-related protein 2
Smp_308630.1	Enoyl-[acyl-carrier-protein] reductase, mitochondrial	Mitochondrial 2-enoyl thioester reductase
Smp_308680.1	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform	Serine/threonine-protein phosphatase 2A 55 kDa RE subunit B alpha isoform
Smp_308680.2	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform	Serine/threonine-protein phosphatase 2A 55 kDa RE subunit B alpha isoform
Smp_308690.1	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (Fragment)	Serine/threonine-protein phosphatase 2A 55 kDa RE subunit B alpha isoform
Smp_308700.1	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (Fragment)	Serine/threonine-protein phosphatase 2A 55 kDa RE subunit B alpha isoform
Smp_308750.1	1-deoxy-D-xylulose-5-phosphate synthase	50S ribosomal protein L36
Smp_308750.2	1-deoxy-D-xylulose-5-phosphate synthase	50S ribosomal protein L36
Smp_308760.1	Pentatricopeptide repeat-containing protein At4g19220, mitochondrial	VAsp, vasodilator-stimulated phosphoprotein
Smp_308820.1	Peroxidasin homolog	Lactoperoxidase, LPO
Smp_308830.1	Uncharacterized protein FLJ43738	NTRC family transcriptional regulator
Smp_308830.2	Uncharacterized protein KIAA1257	Putative sugar isomerase
Smp_308830.3	Uncharacterized protein FLJ43738	NTRC family transcriptional regulator
Smp_308910.1	Hypothetical protein	Defensin-like peptide-2
Smp_308930.1	Very-long-chain 3-oxoacyl-CoA reductase	Short-chain dehydrogenase
Smp_308940.1	Inactive hydroxysteroid dehydrogenase-like protein 1	Short-chain dehydrogenase
Smp_308980.1	PAX-interacting protein 1	PAX-interacting protein 1
Smp_309000.1	PAX-interacting protein 1	DNA ligase 4
Smp_309060.1	Arginine--tRNA ligase	Sulfotransferase
Smp_309090.1	Hypothetical protein	FGFR-3, fibroblast growth factor receptor 3
Smp_309100.1	Heat shock 70 kDa protein 3	Putative cytoplasmic protein
Smp_309110.1	Oxidoreductase HTATIP2	CC3, TAT-interacting protein TIP30
Smp_309120.1	Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase	Stringent starvation protein B
Smp_309140.1	Aspartate--tRNA ligase, mitochondrial	Aspartate--tRNA ligase, mitochondrial
Smp_309140.2	Aspartate--tRNA ligase, mitochondrial	Aspartate--tRNA ligase, mitochondrial
Smp_309180.1	Vacuolating cytotoxin autotransporter	Hypothetical protein AQ_1857
Smp_309210.1	Ubiquitin-associated protein 2-like	Hypothetical protein (RSGI RUH-015)
Smp_309220.1	U11/U12 small nuclear ribonucleoprotein 35 kDa protein	U1-70K
Smp_309240.1	ATP-binding cassette sub-family F member 2	ETTA (YJJK) ABCF family protein
Smp_309250.1	Hypothetical protein	S1P4 first extracellular loop peptidomimetic
Smp_309350.1	Hypothetical protein	132 3vow_A Probable DNA DC->DU-edi  43.2     8.2 0.00025   35.2   0.0   40   20-67    118-157 (190)
Smp_309350.2	Trafficking protein particle complex subunit 3	Transport protein particle 22 kDa subunit
Smp_309360.1	Sterol regulatory element-binding protein cleavage-activating protein	Polycomb protein EED
Smp_309360.2	Sterol regulatory element-binding protein cleavage-activating protein	Polycomb protein EED
Smp_309430.1	Structural maintenance of chromosomes protein 3	SMC, chromosome partition protein SMC
Smp_309480.1	thioredoxin peroxidase	Probable peroxiredoxin
Smp_309500.1	Major facilitator superfamily domain-containing protein 12	Melibiose carrier protein
Smp_309510.1	Major facilitator superfamily domain-containing protein 12	Melibiose carrier protein
Smp_309540.1	Cathepsin D	Renin
Smp_309570.1	ATP-dependent RNA helicase glh-2	Glucose-1-phosphate adenylyltransferase small subunit
Smp_309580.1	Uncharacterized membrane protein YFL067W	Glucose-1-phosphate adenylyltransferase small subunit
Smp_309590.1	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1	Disks large homolog 4
Smp_309590.2	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1	Disks large homolog 4
Smp_309610.1	Protein Lines homolog 1	Arginine attenuator peptide
Smp_309610.2	Protein Lines homolog 1	Arginine attenuator peptide
Smp_309660.1	tRNA (guanine(26)-N(2))-dimethyltransferase	N(2),N(2)-dimethylguanosine tRNA methyltransferas
Smp_309670.1	tRNA (guanine(26)-N(2))-dimethyltransferase	N(2),N(2)-dimethylguanosine tRNA methyltransferas
Smp_309670.2	tRNA (guanine(26)-N(2))-dimethyltransferase	N(2),N(2)-dimethylguanosine tRNA methyltransferas
Smp_309670.3	tRNA (guanine(26)-N(2))-dimethyltransferase	N(2),N(2)-dimethylguanosine tRNA methyltransferas
Smp_309680.1	Coiled-coil domain-containing protein 137	Coil Ser L9C
Smp_309690.1	Coiled-coil domain-containing protein 137	Coil Ser L9C
Smp_309700.1	Retinol dehydrogenase 12	Mypaa.01249.C
Smp_309710.1	Ankyrin repeat domain-containing protein 11	Myotrophin, protein V-1
Smp_309710.2	Ankyrin repeat domain-containing protein 12	Myotrophin, protein V-1
Smp_309710.3	Cyclin-dependent kinase 4 inhibitor C	Myotrophin, protein V-1
Smp_309710.4	Ankyrin repeat domain-containing protein 12	Bontoxilysin-A, botulinum neurotoxin A heavy chain
Smp_309720.1	Ankyrin repeat domain-containing protein 12	Myotrophin, protein V-1
Smp_309720.2	Ankyrin repeat domain-containing protein 12	Leukemia inhibitory factor
Smp_309730.1	Lys-gingipain W83	Protein REV
Smp_309730.2	Lys-gingipain W83	Protein REV
Smp_309740.1	Protein msta, isoform A	ESPF-like protein
Smp_309860.1	Ankyrin repeat family A protein 2	DNA-binding protein rfxank
Smp_309870.1	Probable phosphoinositide phosphatase SAC9	Silencer of death domains
Smp_309910.1	Neurotactin	Rossmann 2X3 fold protein
Smp_309910.2	Neurotactin	Autocrine motility factor receptor, isoform 2
Smp_309910.3	tRNA (cytosine(34)-C(5))-methyltransferase	Rossmann 2X3 fold protein
Smp_309930.1	26S proteasome non-ATPase regulatory subunit 10	26S proteasome non-ATPase regulatory subunit 10
Smp_309940.1	Kinesin-like protein 2	Smooth muscle myosin heavy chain
Smp_309950.1	Chromosome-associated kinesin KIF4	Chromosome-associated kinesin KIF4
Smp_309950.2	Chromosome-associated kinesin KIF4	Chromosome-associated kinesin KIF4
Smp_309960.1	Chromosome-associated kinesin KIF4	Chromosome-associated kinesin KIF4
Smp_309970.1	Protein Noxp20	PRE-protein VI
Smp_309970.2	Protein Noxp20	PRE-protein VI
Smp_309980.1	Very-long-chain 3-oxoacyl-CoA reductase	D-3-hydroxybutyrate dehydrogenase
Smp_309990.1	Ubiquinone biosynthesis O-methyltransferase	LY-6/neurotoxin-like protein 1
Smp_310040.1	Alpha-(1,6)-fucosyltransferase	Alpha-(1,6)-fucosyltransferase
Smp_310050.1	Alpha-(1,6)-fucosyltransferase	Alpha-(1,6)-fucosyltransferase
Smp_310050.2	Alpha-(1,6)-fucosyltransferase	Alpha-(1,6)-fucosyltransferase
Smp_310080.1	Ataxin-2-like protein	PAIP1, polyadenylate-binding protein-interacting protein-1
Smp_310090.1	Uncharacterized protein C12orf56 homolog	Chromobox protein homolog 3
Smp_310140.1	Late secretory pathway protein AVL9 homolog	DENN domain-containing protein 1B
Smp_310150.1	G-patch domain-containing protein C1486.03	CAP-specific mRNA (nucleoside-2'-O-)-methyltransf
Smp_310160.1	Trafficking protein particle complex subunit 10	MAST/stem cell growth factor receptor
Smp_310170.1	Basement membrane-specific heparan sulfate proteoglycan core protein	Vascular endothelial growth factor receptor 2
Smp_310170.2	Basement membrane-specific heparan sulfate proteoglycan core protein	Vascular endothelial growth factor receptor 2
Smp_310180.1	START domain-containing protein 10	PC-TP, phosphatidylcholine transfer protein
Smp_310210.1	Hypothetical protein	LDL receptor, low-density lipoprotein receptor
Smp_310230.1	Hypothetical protein	RGS18, regulator of G-protein signaling 18
Smp_310240.1	Alpha-parvin	Filamin-A
Smp_310250.1	Alpha-parvin	Alpha-parvin
Smp_310260.1	MICOS complex subunit Mic10	Zinc finger protein ZFPM1
Smp_310430.1	Protocadherin-1	EP-cadherin, C-cadherin
Smp_310470.1	Zinc finger B-box domain-containing protein 1	Midline-1
Smp_310500.1	Homeobox protein Hox-D9 (Fragment)	Zinc fingers and homeoboxes protein 3
Smp_310500.2	Homeobox protein Hox-D12a	Zinc fingers and homeoboxes protein 1
Smp_310510.1	Hypothetical protein	Haloacid dehalogenase-like hydrolase
Smp_310510.2	Hypothetical protein	Haloacid dehalogenase-like hydrolase
Smp_310520.1	Hypothetical protein	Isoprenylcysteine carboxyl methyltransferase
Smp_310550.1	Nesprin-1	Plectin
Smp_310580.1	IQ domain-containing protein D	CAM, IQ domain-containing protein G
Smp_310580.2	IQ domain-containing protein D	General transcriptional corepressor TUP1
Smp_310600.1	RNA polymerase sigma factor SigY	Hypothetical protein
Smp_310620.1	Hypothetical protein	Iceberg (protease inhibitor)
Smp_310620.2	Hypothetical protein	Iceberg (protease inhibitor)
Smp_310620.3	Hypothetical protein	Polymyxin resistance protein PMRD
Smp_310650.1	Peripheral myelin protein 22	Coronin-1A
Smp_310740.1	Endothelin-converting enzyme homolog	Neprilysin
Smp_310750.1	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	Subdomain of desmoplakin carboxy-terminal domain (DPCT)
Smp_310760.1	Microtubule-actin cross-linking factor 1	Desmoplakin
Smp_310760.2	Microtubule-actin cross-linking factor 1	Desmoplakin
Smp_310770.1	Putative ribosomal protein S6 kinase alpha-1	Protein kinase C-beta II
Smp_310820.1	LETM1 and EF-hand domain-containing protein 1, mitochondrial	PFCDPK2, calcium-dependent protein kinase 2
Smp_310830.1	LETM1 and EF-hand domain-containing protein 1, mitochondrial	Mitochondrial distribution and morphology protein
Smp_310870.1	Dual specificity tyrosine-phosphorylation-regulated kinase 1B	Dual specificity tyrosine-phosphorylation-regulat 1A
Smp_310870.2	Dual specificity tyrosine-phosphorylation-regulated kinase 1B	Dual specificity tyrosine-phosphorylation-regulat 1A
Smp_310880.1	Hypothetical protein	Conserved domain protein
Smp_310920.1	Sarcolemmal membrane-associated protein	Protein kinase SPK1
Smp_310930.1	AMP deaminase 2	AMP deaminase, AMPD
Smp_310950.1	Splicing factor 3A subunit 1	PRE-mRNA-splicing factor PRP21
Smp_310980.1	Transcriptional adapter 2-beta	SPCC24B10.08C protein
Smp_311010.1	Transmembrane protein 248	L-2-keto-3-deoxyarabonate dehydratase
Smp_311010.2	Uncharacterized protein C6orf203	Hypothetical 15.5 KD protein in MRCA-PCKA intergenic region
Smp_311050.1	CTP synthase 1	CTP synthetase
Smp_311140.1	GTP 3',8-cyclase	Histone RNA hairpin-binding protein
Smp_311150.1	GATOR complex protein WDR59	Suppressor of cytokine signaling 3
Smp_311170.1	PDZ and LIM domain protein 7	ZAsp protein
Smp_311200.1	FERM and PDZ domain-containing protein 2	Merlin
Smp_311200.2	FERM and PDZ domain-containing protein 2	Protein 4.1
Smp_311250.1	Annexin A10	Annexin VI
Smp_311310.1	4-hydroxythreonine-4-phosphate dehydrogenase	Lipoprotein
Smp_311350.1	Long-chain-fatty-acid--CoA ligase 1	Luciferase, luciferin 4-monooxygenase
Smp_311350.2	Long-chain-fatty-acid--CoA ligase 1	Luciferase, luciferin 4-monooxygenase
Smp_311350.3	Long-chain-fatty-acid--CoA ligase 1	4-chlorobenzoyl COA ligase
Smp_311350.4	Long-chain-fatty-acid--CoA ligase 1	Luciferase, luciferin 4-monooxygenase
Smp_311360.1	Protein strawberry notch homolog 1	Type I site-specific restriction-modification system, R (restriction) subunit
Smp_311360.2	Protein strawberry notch homolog 1	Type I site-specific restriction-modification system, R (restriction) subunit
Smp_311360.3	Protein strawberry notch homolog 1	ATP-dependent RNA helicase DDX41
Smp_311430.1	Protein piccolo (Fragment)	Rabphilin-3A, exophilin-1
Smp_311440.1	NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic	NIP1, necrosis inducing protein 1
Smp_311440.2	NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic	NIP1, necrosis inducing protein 1
Smp_311450.1	Protein MoaE	RON2, rhoptry NECK protein 2
Smp_311480.1	P2X purinoceptor 4	P2X purinoceptor
Smp_311480.2	P2X purinoceptor 4	P2X purinoceptor
Smp_311490.1	P2X purinoceptor 4	P2X purinoceptor
Smp_311520.1	Probable cation-transporting ATPase 13A3	Potassium-transporting ATPase alpha
Smp_311520.2	Probable cation-transporting ATPase 13A3	Potassium-transporting ATPase alpha
Smp_311580.1	Probable NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial	Uncharacterized protein
Smp_311610.1	Peptide chain release factor 1	RF-1, peptide chain release factor 1
Smp_311630.1	Ferritin-2 heavy chain	Ferritin light chain
Smp_311640.1	Ferritin-2 heavy chain	Ferritin light chain
Smp_311650.1	Nephrocystin-4	B/K protein
Smp_311650.2	Nephrocystin-4	B/K protein
Smp_311650.3	Nephrocystin-4	Gliding protein MGLA
Smp_311660.1	U-actitoxin-Avd3s (Fragment)	BPTI, bovine pancreatic trypsin inhibitor
Smp_311660.2	Hypothetical protein	Breast cancer type 2 susceptibility protein
Smp_311670.1	U-actitoxin-Avd3s (Fragment)	BPTI, bovine pancreatic trypsin inhibitor
Smp_311670.2	U-actitoxin-Avd3s (Fragment)	BPTI, bovine pancreatic trypsin inhibitor
Smp_311700.1	Kunitz-type serine protease inhibitor Vur-KIn	Conkunitzin-S1
Smp_311740.1	Kinesin-like protein KIF20A	Kinesin-2
Smp_311740.2	Kinesin-like protein KIF20A	Kinesin-2
Smp_311770.1	Adenylate kinase isoenzyme 5	GTP:AMP phosphotransferase mitochondrial
Smp_311770.2	Adenylate kinase isoenzyme 5	GTP:AMP phosphotransferase mitochondrial
Smp_311770.3	Adenylate kinase isoenzyme 5	Adenylate kinase 1
Smp_311780.1	Alpha-(1,6)-fucosyltransferase	Alpha-(1,6)-fucosyltransferase
Smp_311790.1	Alpha-(1,6)-fucosyltransferase	Alpha-(1,6)-fucosyltransferase
Smp_311860.1	Protein gooseberry-neuro	Homeobox expressed in ES cells 1
Smp_311860.2	Protein gooseberry-neuro	Protein (PRD paired)
Smp_311870.1	RNA-directed RNA polymerase L	Luciferase
Smp_311870.2	Anosmin-1	Anosmin 1
Smp_311870.3	Anosmin-1	Anosmin 1
Smp_311870.4	Anosmin-1	Anosmin 1
Smp_311870.5	Anosmin-1	Anosmin 1
Smp_311890.1	Histidine protein methyltransferase 1 homolog	Protein-lysine methyltransferase mettl21B
Smp_311920.1	Microspherule protein 1	Cell cycle checkpoint protein CHFR
Smp_311920.2	Microspherule protein 1	C-MYB, MYB proto-oncogene protein
Smp_311920.3	Microspherule protein 1	Cell cycle checkpoint protein CHFR
Smp_311930.1	Probable rRNA-processing protein EBP2 homolog	Alanine racemase
Smp_311940.1	GATOR complex protein WDR59	Suppressor of cytokine signaling 3
Smp_311970.1	Transcriptional repressor p66-beta	AREA, nitrogen regulatory protein AREA
Smp_311970.2	Transcriptional repressor p66-beta	AREA, nitrogen regulatory protein AREA
Smp_311980.1	PR domain zinc finger protein 14	AART
Smp_312010.1	Transcription factor SOX-2	Transcription factor SOX-5
Smp_312140.1	Uncharacterized protein C9E9.15	Endoglucanase H
Smp_312150.1	Protein FAM214A	Sulfonate ABC transporter, periplasmic sulfonate- protein SSUA
Smp_312170.1	Very-long-chain 3-oxoacyl-CoA reductase	D-3-hydroxybutyrate dehydrogenase
Smp_312180.1	Protein-tyrosine sulfotransferase 1	Sulfotransferase
